animal_a,animal_b,animal_c,GloVe_generated
bass,aardvark,carp,"['capybara', 'aardwolf', 'millipede', 'porcupine', 'aardvarks', 'anteater', 'ursine', 'opossum', 'tapir']"
moth,flamingo,aardvark,"['hippo', 'aardvarks', 'giraffe', 'hippopotamus', 'flamingos', 'devilfish', 'ducky', 'pinocchio']"
slug,pitviper,aardvark,"['aardwolf', 'zozo', 'bovid', 'aye-aye', 'echinococcus', 'edentate', 'mongolica', 'dubius']"
antelope,crab,reindeer,"['lobster', 'snowman', 'shrimp', 'crabs', 'potato', 'clam', 'pumpkin', 'chowder']"
housefly,antelope,tuatara,"['oryx', 'antelopes', 'nyala', 'rhinos', 'bison', 'springbok', 'kudu', 'bighorn']"
bass,carp,wallaby,"['wombat', 'marsupial', 'wallabies', 'opossum', 'kangaroos', 'kangaroo', 'platypus', 'tapir', 'pademelon']"
bass,moth,stingray,"['moths', 'caterpillars', 'larva', 'wasp', 'beetle', 'ladybird', 'silkworm', 'swallowtail']"
bear,dogfish,goat,"['turbot', 'hake', 'monkfish', 'mackerel', 'eel', 'codfish', 'sweetbreads', 'plaice']"
porpoise,lobster,bear,"['crab', 'cake', 'pie', 'pizza', 'gift', 'chicken', 'teddy', 'bears']"
boar,cavy,sole,"['Sole', 'proprietorship', 'countriesAustraliaAu', 'www.a-mytrannycams.com', 'reservedTravelgrove', 'bona-fide', 'fide', 'countriesAustraliaAustriaBelgiumDenmarkFinlandFranceGermanyGreece']"
housefly,haddock,boar,"['venison', 'halibut', 'monkfish', 'salmon', 'scallops', 'poached', 'turbot', 'oysters']"
buffalo,calf,lobster,"['crab', 'Lobster', 'scallops', 'leg', 'shellfish', 'lobsters', 'ankle', 'scallop']"
hawk,frog,buffalo,"['elephant', 'frogs', 'giraffe', 'hippo', 'cow', 'alligator', 'zebra', 'crocodile']"
crayfish,calf,pitviper,"['Calf', 'forearm', 'thigh', 'ankle', 'bruise', 'lsNewsAsk', '08119611005', 'nfr']"
tortoise,frog,calf,"['thigh', 'cow', 'leg', 'knee', 'calves', 'shoulder', 'ankle', 'elbow']"
leopard,calf,stingray,"['Stingray', 'calves', 'Calf', 'achilles', 'forearm', 'tendon', 'groin', 'pectoral']"
platypus,calf,seahorse,"['calves', 'Calf', 'ankle', 'thigh', 'heifer', 'cow', 'dolphin', 'leg']"
tuna,cheetah,carp,"['panther', 'zebra', 'leopard', 'hyena', 'hippo', 'lioness', 'Cheetah', 'rhino', 'jackal']"
flamingo,carp,wolf,"['wolves', 'Carp', 'pike', 'trout', 'fish', 'hunting', 'hunt', 'bait']"
sparrow,mongoose,carp,"['Carp', 'bream', 'catfish', 'pike', 'Mongoose', 'barbel', 'tench', 'panfish']"
sparrow,scorpion,carp,"['catfish', 'Carp', 'fish', 'saltwater', 'pike', 'snake', 'bait', 'eel']"
squirrel,girl,catfish,"['girls', 'fish', 'boy', 'sexy', 'woman', 'lady', 'tilapia', 'caught']"
leopard,chub,cavy,"['chubs', 'barbel', 'Chub', 'dace', 'degu', 'cavies', 'goit', 'flatlander']"
fruitbat,flea,cavy,"['guinea', 'fleas', 'pet', 'dog', 'ferret', 'Flea', 'rabbit', 'tick']"
housefly,cavy,stingray,"['iguana', 'Stingray', 'corvette', 'seahorse', 'mustang', 'turtle', 'stingrays', 'mako']"
parakeet,cavy,sole,"['Sole', 'solely', 'swf/twc-widget-map', '<foaf:depiction', 'gl.ads', 'unlisted/page/1', 'purchaser', 'http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/media/images/lnf3/shop/icons/swatch_NA_1-0._SX18_.jpg', 'twc_1']"
wren,chicken,cheetah,"['meat', 'pork', 'beef', 'fried', 'sausage', 'sauce', 'meatballs', 'bacon']"
herring,cheetah,pitviper,"['tapir', 'caracal', 'serval', 'Acinonyx', 'Cheetah', 'arboreal', 'millipede', 'kinkajou']"
crab,chicken,gorilla,"['chimp', 'Gorilla', 'monkey', 'chimpanzee', 'gorillas', 'pig', 'chickens', 'elephant']"
pike,frog,chicken,"['pig', 'rabbit', 'duck', 'egg', 'soup', 'monkey', 'eggs', 'Chicken']"
herring,chicken,mink,"['rabbit', 'chickens', 'guinea', 'pig', 'goat', 'raccoon', 'rabbits', 'chinchilla']"
pheasant,opossum,chicken,"['hamburger', 'hamster', 'possum', 'fried', 'taco', 'burrito', 'pig', 'tofu']"
skua,chicken,stingray,"['pork', 'steak', 'fried', 'beef', 'meat', 'grilled', 'sauce', 'chili']"
moth,chub,sealion,"['chubs', 'sealions', 'barbel', 'Sealion', 'bubbas', 'sea-lions', 'sharky', 'redtail']"
lion,clam,reindeer,"['chowder', 'clams', 'lobster', 'crab', 'Reindeer', 'potato', 'oyster', 'cockles']"
seal,goat,crayfish,"['crawfish', 'goats', 'crab', 'Crayfish', 'asparagus', 'prawns', 'lobster', 'oysters']"
moth,giraffe,crow,"['hippo', 'giraffes', 'elephant', 'Giraffe', 'lion', 'zebra', 'hippopotamus', 'monkey']"
sole,dove,deer,"['elk', 'moose', 'coyote', 'whitetail', 'pheasant', 'quail', 'birds', 'doves']"
deer,pheasant,pussycat,"['Pussycat', 'Sweety', 'foxy', 'jailbird', 'missy', 'http://whqr.org', 'ansd', 'pipsqueak', 'http://krwg.org']"
housefly,dogfish,raccoon,"['otter', 'coyote', 'moose', 'turtle', 'shark', 'racoon', 'bobcat', 'otters']"
dolphin,frog,polecat,"['weasel', 'toad', 'froggy', 'woodchuck', 'ferret', 'opossum', 'porcupine', 'salamander']"
dolphin,hamster,worm,"['worms', 'hamsters', 'Hamster', 'gerbil', 'Worm', 'parasite', 'ferret', 'rodent']"
dolphin,mole,tortoise,"['moles', 'Mole', 'tarantula', 'armadillo', 'burrow', 'Moles', 'mol', 'burrowing']"
dolphin,reindeer,skua,"['reindeers', 'skuas', 'muskox', 'raindeer', 'red-nosed', 'muskoxen', 'Reindeer', 'ptarmigan']"
hamster,fruitbat,dove,"['sousing', 'width=""612""', 'fortemente', 'picturesSummaryTitleAbout', 'School-Spon', 'CompetitionsExpand', 'venne', 'mandatecela']"
dove,honeybee,newt,"['gingrich', 'honeybees', 'mellifera', 'amphibian', 'beekeeper', 'newts', 'apiary', 'silkworm']"
platypus,oryx,dove,"['kudu', 'antelope', 'Oryx', 'gazelle', 'doves', 'hawk', 'swooped', 'gazelles']"
sparrow,dove,wallaby,"['kangaroo', 'Wallaby', 'wombat', 'koala', 'kangaroos', 'wallabies', 'Kangaroo', 'emu']"
wallaby,pussycat,duck,"['dolls', 'kitty', 'bunny', 'lady', 'doll', 'bell', 'hello', 'bob']"
elephant,penguin,reindeer,"['snowman', 'reindeers', 'penguins', 'Reindeer', 'snowmen', 'claus', 'igloo', 'snowflake']"
moth,flamingo,sealion,"['sealions', 'sea-lion', 'sea-lions', 'penquin', 'polarbear', 'flamingos', 'sharky', 'dolfins']"
flea,pitviper,raccoon,"['tapir', 'lotor', 'peccary', 'rubus', 'pademelon', 'skink', 'marten', 'long-nosed']"
frog,porpoise,stingray,"['porpoises', 'stingrays', 'Porpoise', 'bottlenose', 'manta', 'cetacean', 'Stingray', 'finless']"
sole,hare,frog,"['frogs', 'squirrel', 'toad', 'rabbit', 'raccoon', 'monkey', 'owl', 'chipmunk']"
scorpion,frog,wallaby,"['kangaroo', 'wombat', 'koala', 'marsupial', 'opossum', 'hippo', 'possum', 'otter']"
fruitbat,octopus,pony,"['horse', 'ponies', 'little', 'snake', 'fish', 'rabbit', 'red', 'tail']"
housefly,giraffe,vulture,"['elephant', 'lion', 'giraffes', 'hippo', 'cheetah', 'zebra', 'lions', 'rhino']"
hare,girl,platypus,"['boy', 'girls', 'mom', 'kid', 'lady', 'woman', 'sister', 'teenage']"
moth,girl,wasp,"['boy', 'girls', 'woman', 'teenager', 'lady', 'teenage', 'girlfriend', 'mom', 'kid']"
squirrel,sole,girl,"['woman', 'girls', 'sexy', 'women', 'lady', 'her', 'she', 'ladies']"
mongoose,goat,sole,"['cow', 'lamb', 'cheese', 'Sole', 'solely', 'made', 'purpose', 'beef']"
gorilla,pony,termite,"['Termite', 'termites', 'pest', 'infestation', 'fences', 'sod', 'fence', 'horse']"
housefly,haddock,sealion,"['halibut', 'turbot', 'monkfish', 'albacore', 'plaice', 'mackerel', 'hake', 'pollock']"
leopard,hamster,piranha,"['gerbil', 'pirahna', 'hamsters', 'Hamster', 'pirhana', 'piranhas', 'hampster', 'goldfish']"
octopus,hare,parakeet,"['parakeets', 'budgie', 'cockatiel', 'ringneck', 'lovebird', 'Parakeet', 'chinchilla', 'budgerigar']"
seal,pussycat,hawk,"['foxy', 'blackbird', 'magpie', 'buzzard', 'missy', 'jay', 'niki', 'hawks']"
pitviper,ostrich,honeybee,"['bees', 'cow', 'bee', 'chickens', 'feathers', 'hens', 'peacock', 'sheep']"
housefly,mole,piranha,"['moles', 'shark', 'Mole', 'turtle', 'snake', 'octopus', 'lazer', 'pit']"
porpoise,kiwi,sealion,"['kiwis', 'Kiwi', 'dragonfruit', 'kiwifruit', 'aussie', 'mangos', 'strawberry', 'stawberries']"
tuna,pitviper,lion,"['moloch', 'horned', 'mandrill', 'tapir', 'jackal', 'lioness', 'baboon', 'lizardman']"
lynx,piranha,pony,"['Pony', 'ponies', 'pirahna', 'clown', 'goldfish', 'Piranha', 'pinata', 'monster']"
tortoise,stingray,mink,"['Mink', 'pelts', 'furs', 'muskrat', 'stingrays', 'nutria', 'pelt', 'minks']"
moth,pony,tuatara,"['ponies', 'Pony', 'Ponies', 'ponys', 'horsies', 'horsey', 'poney', '08119611005']"
newt,pussycat,stingray,"['Pussycat', 'barbie', 'kitty', 'gogo', 'stingrays', 'boogie', 'lowrider', 'kittie']"
platypus,pike,oryx,"['kudu', 'eland', 'whitefish', 'antelope', 'panfish', 'bream', 'gazelle', 'gemsbok']"
parakeet,pony,seahorse,"['ponies', 'unicorn', 'horse', 'Pony', 'mermaid', 'Seahorse', 'donkey', 'horses']"
platypus,pheasant,polecat,"['pheasants', 'grouse', 'partridge', 'boar', 'Pheasant', 'quail', 'coon', 'venison']"
skimmer,raccoon,pitviper,"['racoon', 'opossum', 'coati', 'marten', 'coyote', 'squirrel', 'tapir', 'possum']"
platypus,sealion,stingray,"['mako', 'Stingray', 'manta', 'stingrays', 'barracuda', 'helecopter', 'sea-lion', 'sealions']"
vampire,sole,pony,"['saddle', 'Sole', 'shoe', 'tack', 'horse', 'cushioned', 'bridle', 'Pony']"
raccoon,pussycat,rhea,"['caroline', 'tamara', 'bennett', 'teresa', 'renee', 'sheila', 'melanie', 'robyn']"
